model,split,k,scaling,weights,tie_break,accuracy,macro_precision,macro_recall,macro_f1,ties,seed
manual,val,3,minmax,distance,min_class,0.8142082096427474,0.7450230632048813,0.7307800106214761,0.7372896153763807,0,42
manual,val,3,minmax,distance,nearest,0.8142082096427474,0.7450230632048813,0.7307800106214761,0.7372896153763807,0,42
manual,val,3,minmax,uniform,min_class,0.8213737332377931,0.7561644243903939,0.7350493569308816,0.7443564386042555,0,42
manual,val,3,minmax,uniform,nearest,0.8213737332377931,0.7561644243903939,0.7350493569308816,0.7443564386042555,0,42
manual,val,3,standard,distance,min_class,0.8259801412631794,0.7616417086426139,0.7515707095063133,0.7563255322915146,0,42
manual,val,3,standard,distance,nearest,0.8259801412631794,0.7616417086426139,0.7515707095063133,0.7563255322915146,0,42
manual,val,3,standard,uniform,min_class,0.8308936431569249,0.7693946856904181,0.7534799325034212,0.7607704376411211,0,42
manual,val,3,standard,uniform,nearest,0.8308936431569249,0.7693946856904181,0.7534799325034212,0.7607704376411211,0,42
manual,val,3,,distance,min_class,0.8403111884532706,0.7817888970974849,0.7730166143653392,0.7772104925226333,86,42
manual,val,3,,distance,nearest,0.8383662606203296,0.7785214074272797,0.7736451054386472,0.7760224987365625,86,42
manual,val,3,,uniform,min_class,0.8412324700583478,0.7827951940041517,0.7759688700011469,0.7792658428170873,0,42
manual,val,3,,uniform,nearest,0.8412324700583478,0.7827951940041517,0.7759688700011469,0.7792658428170873,0,42
manual,val,4,minmax,distance,min_class,0.8178933360630566,0.7512724216400155,0.7277750736617332,0.7379379308738113,108,42
manual,val,4,minmax,distance,nearest,0.8169720544579793,0.7494252508177757,0.7303963869478365,0.7388534639505668,108,42
manual,val,4,minmax,uniform,min_class,0.8221926502200839,0.7739907766545018,0.6915857101534587,0.7162058106288685,1139,42
manual,val,4,minmax,uniform,nearest,0.8215784624833657,0.756738355895461,0.7335705086839548,0.7436578129124757,1139,42
manual,val,4,standard,distance,min_class,0.8303818200429931,0.7689126300754042,0.7512368020329119,0.7592520462723786,121,42
manual,val,4,standard,distance,nearest,0.8289487153239841,0.7661775416952001,0.7533750592448987,0.7593354420232277,121,42
manual,val,4,standard,uniform,min_class,0.8340669464633023,0.7910971586762487,0.7159638344726318,0.7407992446233584,1097,42
manual,val,4,standard,uniform,nearest,0.8319172893847886,0.7711564077356614,0.7534193345870912,0.7614690901780101,1097,42
manual,val,4,,distance,min_class,0.8440986794963661,0.789405660256937,0.7689055711162176,0.7781596292726902,294,42
manual,val,4,,distance,nearest,0.8410277408127751,0.7825070114874171,0.7756876438516807,0.7789812081850012,294,42
manual,val,4,,uniform,min_class,0.8502405568635479,0.8132555978566169,0.7478611094606216,0.7717777659930412,1081,42
manual,val,4,,uniform,nearest,0.8413348346811342,0.7830804528700438,0.7753027823108666,0.7790412184193669,1081,42
